DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P784S1A3;FEX_C
7124880;1;1;1;2;10,8808167218209
7124881;1;1;1;3;6,31368778231403
7124882;1;1;1;3;7,39141376912674
7124882;2;1;2;4;7,39141376912674
7124883;1;1;1;3;4,63121638288333
7124884;1;1;1;3;4,63121638288333
7124888;1;1;1;3;6,31368778231403
7124921;1;1;1;2;145,842738702084
7124927;1;1;1;2;109,593276465402
7124928;1;1;1;2;184,636245467793
7124928;2;1;2;3;184,636245467793
7124930;1;1;1;3;209,606145375689
7124930;2;1;2;4;209,606145375689
7124933;1;1;1;3;267,701297324235
7124933;2;1;2;4;267,701297324235
7124935;1;1;1;3;175,979924703733
7124937;1;1;1;3;138,438736035568
7124940;1;1;1;2;154,094979958502
7124961;1;1;1;3;109,653183919689
7124961;2;1;2;4;109,653183919689
7124970;1;1;1;3;202,893751169014
7124975;1;1;1;3;129,441152864595
7124980;1;1;1;3;342,16639130174
7124980;2;1;2;4;342,16639130174
